record_id	name	mrp_id	cms_status	marketplace_status
rec12uMBYEYFYFCgu	Altrion	694eb4256833ca6b2ff7f0f3	Active	3️⃣Published🚀
rec132gwtqFADRtr1	AGENTIX Agency	664242185b1c5093c859854b	Active	3️⃣Published🚀
rec137kqVfkNRs3yH	Agencye	67e34d7effd7a0efcf28ec8f	Active	3️⃣Published🚀
rec13MEQtOHMopqXs	Optix	662f5316e552165199fd5efb	Active	3️⃣Published🚀
rec13ZyUsuqbD5hfC	Trinacria	67d2d46d5546234d2f46661a	Active	3️⃣Published🚀
rec13bvEplpLMqCqv	Vegan X	66341ba1b471d1315639d699	Active	3️⃣Published🚀
rec1586LCI0GZKCFb	Insurbes	65fbbfcdaffa13bb08f330f7	Active	3️⃣Published🚀
rec15K71LGn9jfOJS	Vynix	6930f124dd3c14b95a56b830	Active	3️⃣Published🚀
rec162CWtGnGXluGx	FactorX	66be2819521cb9d98f223762	Active	3️⃣Published🚀
rec16TNMXynGEnWek	StudioAI	667adff77428187de411b270	Active	3️⃣Published🚀
rec178lfweSKsHsLQ	1Frame	54639d4e9d93a2990f0bf29f	Active	3️⃣Published🚀
rec17JpjFOR4nhYgx	Inotion	6888643826de8ae46143a542	Active	3️⃣Published🚀
rec17b9eUt3OSrBtq	Money Flow	63b04cd785d8d8785d2a5801	Active	3️⃣Published🚀
rec17wpRnwt5yBoP2	Kanzo Studio	693c6284a15a1ab70ae01fd9	Active	3️⃣Published🚀
rec18VdpKVIK4A7sU	Flarestudio	694ece71d5d9e96efbdd573e	Active	3️⃣Published🚀
rec18m9CeKp5uoI5s	Xavier	6552814fc8072e329557f854	Active	3️⃣Published🚀
rec18x7v17Am0vsXQ	Miki’s Art	685706c863422357e16fd953	Active	3️⃣Published🚀
rec19ZUiUCd4CwRdt	Bobby Archived j4n2o3s6	649b1327c5ceeacc174935c1	Archived	4️⃣Delisted☠️
rec19n8NDWQpDhRVq	Heartearth	65c45b99e67f3562ff7ebf7d	Active	3️⃣Published🚀
rec1A8sBHQEcVvTdD	Gaxta	68adf40379615c05f0c3ee5d	Active	3️⃣Published🚀
rec1AFe5rdlkHJtXU	Jonquil	62030bac41cceb61ebb97406	Archived	4️⃣Delisted☠️
rec1AkSbJjVpmAFSl	Unx.studio	680ef0670655d5bb16856325	Active	3️⃣Published🚀
rec1BaCVWDutw8x2D	Steele 128	66d0a924d209b9aac9fb77e3	Active	3️⃣Published🚀
rec1CEguBpBMS9uQA	Nutroco	67196d598559dfcc5885dc19	Active	3️⃣Published🚀
rec1DAABlVCBtJ34X	ZoneFlow	672ad17f8077d2fe2721aa9a	Active	3️⃣Published🚀
rec1DQDlIeLTIo5m9	Jaeger	68ecffb457e531396af970ba	Active	3️⃣Published🚀
rec1DUbSNqNBKivZ1	Spring	62a934ddadf8792f2f4af7d9	Active	3️⃣Published🚀
rec1DgZGcxGUvSJAc	Melyn	68e4ec28a728a0622cc9cbf3	Active	3️⃣Published🚀
rec1DxqHSWBQ4T5pd	Paramas	6446bd90c5f1d546073c947c	Active	3️⃣Published🚀
rec1E0EaXSiH4XX8D	Venture Archived 6qqmcfi3	606b38655dfd4674e7ef16c6	Draft	4️⃣Delisted☠️
rec1EMTvNommSKZfh	Konstruk	64e8b5f1431f87034e31153a	Active	3️⃣Published🚀
rec1Fn72sY5pchwSV	Eloven	67366e6ae1565d73e8ffe5d4	Active	3️⃣Published🚀
rec1G5nL0m4Y92Uk8	Skinly Archived a80lbqzz	6700619d4bcd193764ed48a1	Archived	4️⃣Delisted☠️
rec1GXkI0qGVteYaA	EditorPro	674b8bdd0e97f5a779d0de4c	Active	3️⃣Published🚀
rec1HFJxfd5CSv6Ut	Honrix	65cb712aa480b55adce3a63e	Active	3️⃣Published🚀
rec1HOLwURngMgRpU	NoBookingYet	61d4c982ece8f9b6381c7e3f	Active	3️⃣Published🚀
rec1HVLWsEPBZXQiN	Read More Archived izgepjqo	624f04a8f32e30501c302069	Archived	4️⃣Delisted☠️
rec1Hvo3TAiryunAE	Xtreme	5cf7f46fdf6b32d59d62ffd2	Active	3️⃣Published🚀
rec1I4BT0V8Pl49ia	Somers	6847c51b4df6ac89ac5727b8	Active	3️⃣Published🚀
rec1I6bvXndYwSgPb	Victory	5a0c9e4578c97700015f0bb6	Active	3️⃣Published🚀
rec1JG0eOGRcYxEZk	Veetra	6835dc6e5a3bb6cc8be94b1b	Active	3️⃣Published🚀
rec1Jf7gdo6Mug81k	Frontier	5ef5263e5ee35841455abab1	Active	3️⃣Published🚀
rec1K3fN38NzX00YV	Omgami	693c3b461754ba13a0e42a6f	Active	3️⃣Published🚀
rec1K6y6DYGxWOvOt	Calson Archived ns6riy65	679410da7fda535cf7910ffa	Archived	4️⃣Delisted☠️
rec1KYcnINmyN4sWx	Blogsville	62461283aea79b4e9fa3e61e	Active	3️⃣Published🚀
rec1L4TySkkW36GEs	Sushiba	68ffa3faf4707c5bcda6b985	Active	3️⃣Published🚀
rec1LneW5NfpEYx6F	Dave Smith 	6453e2bd6e65bcdfc3731b0a	Active	3️⃣Published🚀
rec1M539iG1qGlLKZ	Fluxora	683cc03fc3930e093b124264	Active	2️⃣Scheduled📅
rec1Mf8PCUA0Fky1N	Devix	693ccd647934b1c96f00266c	Active	3️⃣Published🚀
rec1MfrpBlOnE8Avc	PortfolyoX	6568dd823b891528b7f20ebc	Active	3️⃣Published🚀
rec1NHyuWvsW8MPxZ	Vaulta	698b5474cdb1148d180bed74	Active	3️⃣Published🚀
rec1Nlp3kBcnVqEqn	Tarnix	67986e27ac96549d0cc99789	Active	3️⃣Published🚀
rec1O2LC520GK9eFa	Coinvest 128	657a324cc035c851f1fd9e96	Active	3️⃣Published🚀
rec1Ofc06UTw3s2ZT	Babyo	64ee0077c6e9f2e496123a22	Active	3️⃣Published🚀
rec1Oyu0lvofwCQoE	IgniteX	68e6b22ad051055c91f40a30	Active	3️⃣Published🚀
rec1PClQtKWA9deQs	Corporation X	6330e156d726c7e057d5b00e	Active	3️⃣Published🚀
rec1Q5c7eF8FGV6QY	Pawhaven	6785b613541c45280da9b84e	Active	3️⃣Published🚀
rec1Q8594rci5iKV1	Sonata	671777db356e5c8c6cb23fc9	Active	3️⃣Published🚀
rec1QJGEeA6InTqTW	Cruze	6863edcea4a9e467af45b971	Active	3️⃣Published🚀
rec1QqFPmTioLczH9	Tancer	63d131dedb97b9a07112a951	Active	3️⃣Published🚀
rec1QwiCabjEzzJZz	Web Folio	61a4bec6fec97f51caae4c29	Active	3️⃣Published🚀
rec1QzLbuSVymVrnu	Ukr	63b9dbf53d3d7ab40a5198ac	Active	3️⃣Published🚀
rec1R7ea9xBaYkHJj	NFT Crystals	668483314c40082772df5a6b	Active	3️⃣Published🚀
